city,cities
Shchelkovo,Shchelkovo
Shchekino,Schekino
Shatura,Chatoura
Shar'ya,Shar'ja
Shali,Chali
Shakhun'ya,Shakhun'ja
Shakhty,Aleksandrovsk-Grushevskiy
Severskaya,Severs'ka
Severo-Zadonsk,Severo-Zadonsk
Severoural'sk,Petropavlovsk
Severomorsk,Severamorsk
Severodvinsk,Molotovsk
Severnyy,Severnyj
Setun',Setun'
Sestroretsk,Sestrarehck
Sertolovo,Sertolova
Serpukhov,Serpoechov
Sergiyev Posad,Sergiev Posad
Sergach,Sergach
Serdobsk,Bol'shaya Serdoba
Semiluki,Semilouki
Semikarakorsk,Semikarakors'k
Semenovskoye,Semenovskoye
Semenov,Semenov
Sel'tso,Sel'co
Segezha,Poselok Segezha
Satka,Chatky
Sarov,Arzamas-16
Saratov,ISaratov
Sarapul,Sarapoel
Saransk,SKX
Saraktash,Saraktash
Saint Petersburg,Agia Petroupole
Samara,KUF
Sal'sk,Sal'sk
Salavat,Salauat
Safonovo,Safonava
Rzhev,Raesevae
Rybnoye,Rybnoe
Rybinsk,Andropov
Rybatskoye,Rybackoe
Ryazhsk,Razhsk
Ryazan',RZN
Ruzayevka,Orazaj osh
Rublevo,Rublevo
Rtishchevo,Rcishchava
Rostov-na-Donu,Don umbalne Rostov
Rostov,Rastou
Rostokino,Rostckino
Rossosh',Pervaya Rossosh'
Rossosh',Rossoh'
Roslavl',Raslawl
Roshal',Krestov Brod
Rodniki,Radniki
Revda,Rehuda
Reutov,Reoutov
Razumnoye,Razumnoe
Rayevskiy,Al'sheevo
Rasskazovo,Raskazava
Ramenskoye,Ramenska
Ramenki,Ramenka
Pyatigorsk,Five Mountains
Pushkino,Poesjkino
Pushkin,Blagoveshhenskoe
Pushchino,Pouchtchino
Pugachev,Nikolayevsk
Pskov,PKV
Protvino,Protvino
Proletarsk,Praletarsk
Prokhladnyy,Prochladnaja
Priyutovo,Prijutovo
Privolzhskiy,Privolzhskij
Privolzhsk,Privoljsk
Priozersk,Kaegoeisalmi
Primorsko-Akhtarsk,Akhtari
Pridonskoy,Pridonskoj
Povorino,Pavoryna
Kotlovka,Imeni Likhacheva
Annino,Anino
Polyarnyye Zori,Poljarnye Zori
Polyarnyy,Aleksandrovsk
Pokrovskoye-Streshnevo,Bsatsevo
Pokrov,Pakrou
Pokhvistnevo,Pakhvistneva
Podporozh'ye,Kosenala
Podolsk,OSF
Pochep,Pochep
Ryazanskiy,Plyushchevo
Plavsk,Plausk
Pikalevo,Pikal'ovo
Petushki,Novyye Petushki
Petrozavodsk,AEaenislinna
Petrovskaya,Petrovskaja
Petrovsk,Petrovs'k
Petrodvorets,Petergof
Peterhof,Paleizencomplex in Peterhof
Pestovo,Pestovo
Pervoural'sk,Pervoural'sk
Perm,Molotov
Pereslavl'-Zalesskiy,Pereslavl'-Zalesskij
Novo-Peredelkino,Novo-Peredelkino
Penza,PEZ
Pechora,Byen Petsjora
Pavlovskiy Posad,Pavloro Pasad
Pavlovskaya,Pavlivs'ka
Pavlovsk,Palacio de Pavlovsk
Pavlovsk,Paulausk
Pashkovskiy,Pachksowskaja
Pallasovka,Bulbin
Ozery,Ozeri
Ozerki,Estacao Oserki
Otradnyy,Otradnoye
Otradnoye,Otradnoe
Otradnoye,Otradnoe
Otradnaya,Otradnaja
Ostrov,Ostrau
Ostrogozhsk,Astragozhsk
Ostashkov,Astashkau
Ostankinskiy,Novoostankino
Osa,Asa
Orsk,OSW
Orlovskiy,Orlovka
Orenburg,Arehnburg
Orel,OEL
Orekhovo-Zuyevo,Arehkhava-Zueva
Orekhovo-Borisovo Severnoye,Orekhovo
Sunzha,Ordshonikidsewskaja
Onega,AEaeninen
Omutninsk,Amutninsk
Olenegorsk,Alenjagorsk
Tsotsin-Yurt,Cacan-Jurt
Oktyabr'skiy,OKT
Oktyabr'sk,Batrak Zernosovkhoz
Odintsovo,Adzincova
Ocher,Ocher
Ochakovo-Matveyevskoye,Ochakovo
Obninsk,Obnins'k
Nytva,Nitv
Nyandoma,Njandoma
Nurlat,Noerlat
Novyy Oskol,Novo Oskol
Novyye Kuz'minki,Novye Kuz'minki
Novyye Cheremushki,Novye Cherjomushki
Novozybkov,Navazybkau
Novovoronezh,Novovoionezhskiy
Novouzensk,Navauzensk
Novoul'yanovsk,Novoul'janovsk
Novotroitsk,Navatroick
Novotitarovskaya,Novotitarovskaja
Novoshakhtinsk,Komintern
Novorossiysk,NOI
Novopokrovskaya,Novopokrovs'ka
Novopavlovsk,Navapaulausk
Novomoskovsk,Bobriki
Novomichurinsk,Novomichurinsk
Novokuz'minki,Novokuz'minki
Novokuybyshevsk,Navakujbyshehusk
Novokubansk,Khutorok
Novokhovrino,Khovrino
Novogireyevo,Novogireevo
Novodvinsk,Mechkastroy
Novocherkassk,Novacharkask
Novocheboksarsk,Cene Shupashkar
Novoanninskiy,Annenskiy
Novoaleksandrovsk,Novaaljaksandrausk
Velikiy Novgorod,Holmgardur
Novaya Usman',Nov.Usman'
Novaya Derevnya,Novaja derevnja
Noginsk,Naginsk
Nizhnyaya Tura,Anatri Tura
Nizhny Tagil,Nizhne-Tagil'skiy
Nizhniy Novgorod,GOJ
Nizhniy Lomov,Nizhni Lamov
Nizhnekamsk,Anat Kama
Nikulino,Nikulino
Nikol'skoye,Nikol'skoe
Nikol'skoye,Lomkka
Nikol'sk,Nikol'sk
Nikolayevsk,Nikolaevs'k
Nikel,Kolosjoki
Nezlobnaya,Nezlobnaja
Nevinnomyssk,Nevinnomis'k
Nevel',Nevel
Nesterovskaya,Nesterovskaja
Nerekhta,Nerechta
Nelidovo,Nelidovo
Neftekamsk,Kasevo
Neftegorsk,Neftegorsk
Nazran',Imeni Kost-Khetagurova
Nar'yan-Mar,Dzerzhinskiy
Nartkala,Dokshukino
Naro-Fominsk,Nara-Faminsk
Nal'chik,NAL
Nakhabino,Nakhabino
Naberezhnyye Chelny,Brezhnev
Mytishchi,Mitischi
Murom,Moerom
Murmansk,Gorod Murmansk
Mtsensk,Mcehnsk
Mozhga,Krasnyy
Mozhaysk,Mazhajsk
Mozdok,Maezdaeg
Mostovskoy,Mostovoye
Moscow,MOW
Morshansk,Morschansk
Morozovsk,Marozausk
Monino,Monin
Monchegorsk,Manchagorsk
Mirnyy,Mirnyj
Mineralnye Vody,MRV
Millerovo,Milerava
Mikhaylovka,Michailowka
Mikhalkovo,Mikhalkovo
Michurinsk,Koslov
Metallostroy,Metallostroi
Menzelinsk,Menselinsk
Mendeleyevsk,Bondyushskiy Zavod
Meleuz,Meleouz
Melenki,Melenkad
Medvezh'yegorsk,Karhumaegi
Medvedovskaya,Medvedevskaya
Medvedevo,Maskasola
Mednogorsk,Mednagorsk
Maykop,Maikop
Matveyevskoye,Matveevskoe
Marks,Baronsk
Mar'ino,Mar'ina
Manturovo,Mantourovo
Yaroslavskiy,Jaroslavskij
Maloyaroslavets,Malajaraslavec
Malgobek,Maelguaevaeg
Malakhovka,Malakhovka
Makhachkala,Anzhi
Magnitogorsk,MQF
Lyudinovo,Ljudinovo
Lyublino,Ljublino
Lyubertsy,Lioubertsy
Lytkarino,Litkarino
Lys'va,Lys'va
Lyskovo,Liskovo
Luzhniki,Luzhniki
Lukhovitsy,Loukhovitsy
Luga,Laukaa
Losino-Petrovskiy,Losino-Petrovskij
Lomonosov,Kaarosta
Lodeynoye Pole,Lodeinoje Pole
Lobnya,Krasnaya Polyana
Livny,Liuny
Liski,Georgiu-Dezh
Lipetsk,LPK
Likino-Dulevo,Dulevo
Likhobory,Likhobory
Lianozovo,Lianozovo
L'govskiy,L'gov
Komendantsky aerodrom,Komendantskij aehrodrom
Lermontov,Lermantau
Leonovo,Leonovo
Leninskiye Gory,Leninskie gory
Leninsk,Leninsk
Leninogorsk,Leninagorsk
Tsaritsyno,Caricino
Leningradskaya,Leningradskaja
Yubileyny,Ioubileiny
Lefortovo,Lefortovo
Lebedyan',Lebedjan
Lazarevskoye,Lasarewskaja
Lakinsk,Lakinsk
Labinsk,Labins'k
Dugulubgey,Dugulubgej
Kuznetsk,Kouznetsk
Kuz'minki,Kuz'minki
Kuvandyk,Kouvandyk
Kuskovo,Kuskovo
Kushva,Koesjva
Kushchevskaya,Kuschewskaja
Kusa,Kusa
Kur'yanovo,Kur'janovo
Kursk,Koersk
Kurovskoye,Kourovskoie
Kurganinsk,Koerganinsk
Kurchatov,Kurchatov
Kurchaloy,Chkalovo
Kupchino,Kupchi
Kungur,Koengoer
Kumertau,Koumertaou
Kulebaki,Koelebaki
Kukmor,Bol.Kukmor
Kudymkar,Koedymkar
Kudepsta,Kudepsta
Kubinka,Koubinka
Kstovo,Kostova
Krymsk,Krims'k
Kropotkin,Krapotkin
Kronstadt,Cronstadt
Krasnyy Sulin,Krasny-Sulin
Biryulevo Zapadnoye,Biryulevo Zapadnoye
Krasnoye Selo,Kraassela
Krasnovishersk,Krasnovishersk
Krasnoufimsk,Krasnaufimsk
Krasnokamsk,Krasnakamsk
Krasnogvardeyskoye,Krasnogvardejskoe
Krasnogorsk,Ban'ki
Krasnodar,Ekaterinodar
Krasnoarmeyskaya,Krasnoarmejskaja
Krasnoarmeysk,Krasnoarmeisk
Krasnoarmeysk,Bal'tser
Presnenskiy,Krasnaja Presnja
Koz'modem'yansk,Chykma
Kozhukhovo,Kozhukhovo
Kozeyevo,Kozeevo
Kozel'sk,Kozel'sk
Kovylkino,Kavylkina
Kovrov,Kaurou
Kovdor,Kaudor
Kotovsk,Katousk
Kotovo,Katovo
Kotlas,KSZ
Kotel'nikovo,Kotel'nikovo
Kotel'niki,Kotel'niki
Kotel'nich,Kotel'nich
Kostroma,Costroma
Kostomuksha,Kostamus
Kosaya Gora,Kosaja Gora
Koryazhma,Korjazhma
Korenovsk,Karanousk
Konstantinovsk,Kanstancinausk
Kondrovo,Kondrova
Kondopoga,Kandapoga
Konakovo,Kanakova
Kommunar,Kamunar
Kolpino,Koljpino
Kolomyagi,Kolomaeki
Kolomna,Columna
Kolomenskoye,Kolomenskoe
Kol'chugino,Kellerovo
Kokhma,Kochma
Klintsy,Klincad
Klin,Klin
Klimovsk,Klimausk
Kizlyar,Kisljar
Kizilyurt,Chir-Yurt
Kizel,Kisel
Kislovodsk,Kislavodsk
Kirzhach,Kirjac
Kirsanov,Kirsanau
Kirovsk,Hiipina
Kirovsk,Imeni Kirova
Kirovo-Chepetsk,Chepets
Kirov,KVX
Kirov,Kirov
Kirishi,Kirichi
Kireyevsk,Kireevsk
Kingisepp,Jaama
Kineshma,Kinechma
Kinel'-Cherkassy,Kinel'-Cherkassy
Kinel',Kinel
Kimry,Kimrai
Kimovsk,Bol'shaya Mikhaylovka
Khot'kovo,Khot'kovo
Khosta,Khosta
Khoroshevo-Mnevniki,Khoroshevo
Kholmskiy,Cholmskaja
Khimki,Chimkai
Khasavyurt,Chassaw-Jurt
Kharabali,Charabali
Khadyzhensk,Chadyschensk
Kazan,Casanum
Katav-Ivanovsk,Katau-Ivanausk
Kastanayevo,Kastanaevo
Kaspiysk,Dvigatel'stroj
Kasimov,Cassim
Kashira,Kachira
Kashin,Kachine
Karachev,Karachev
Karachayevsk,Karachaevsk
Karabulak,Karaboelak
Karabanovo,Karabanava
Kapotnya,Kapotnja
Kantyshevo,Kantyshevo
Kanevskaya,Kanevskaia
Kandalaksha,Kaeddluhtt
Kanash,Kanach
Kamyzyak,Kamysjak
Kamyshin,Kamishin
Kamensk-Shakhtinskiy,Kamensk
Kaluga,Caluga
Kalininsk,Balanda
Korolev,Kaliningrad
Kaliningrad,Caliningrado
Kalach-na-Donu,Kalac Donal
Kalach,Kalach
Kachkanar,Kachkanar
Kabanovo,Kabanova
Izobil'nyy,Izobil'no-Tishchenskiy
Izmaylovo,Izmajlovo
Izhevsk,IJK
Izberbash,Izbarbash
Ivanteyevka,Ivanteevka
Ivanovskoye,Ivanovskoe
Ivanovo,IWA
Istra,Istra
Ishimbay,Isembai
Ipatovo,Ipatava
Inza,Insa
Inozemtsevo,Inozemcevo
Il'skiy,Il'skaya
Igra,Igra
Gus'-Khrustal'nyy,Gus'-Khrustal'ny
Gusev,Gabin
Gul'kevichi,Gul'kevichi
Gukovo,Gukova
Gudermes,Belaja
Gubkin,Goubkine
Gubakha,Goebacha
Gryazovets,Grjazovec
Gryazi,Grjazi
Groznyy,Dzhokhar
Gribanovskiy,Bol'shaya Gribanovka
Grazhdanka,Grazhdanka
Goryachiy Klyuch,Gorjachij Kljuch
Goryachevodskiy,Gorjachevodskij
Gorodishche,Gorodishche
Gorodets,Garadzec
Gorelovo,Gorelovo
Gol'yanovo,Gol'janovo
Golitsyno,Galicyna
Glazov,Glasow
Giaginskaya,Ghiaghinskayai
Georgiyevsk,Georgievsk
Gelendzhik,GDZ
Gay,Gai
Gavrilov-Yam,Gavrilov-Jam
Gatchina,Gatchina
Galich,Galic
Gagarin,Gagarin
Furmanov,Fourmanov
Fryazino,Frjasino
Fryazevo,Frjazevo
Frolovo,Frolava
Fili,Fili
Ezhva,Ehzhva
Engel's,Ehngel's
Enem,Ehnem
Elista,ESL
Elektrougli,Ehlektravugli
Elektrostal',Ehlektrostal'
Elektrogorsk,Ehlektragorsk
Ekazhevo,Ehkazhevo
Dzerzhinskiy,Dzerzhinskij
Dzerzhinsk,Chernorech'ye
Dyurtyuli,Djurtjuli
Dyat'kovo,Djat'kovo
Dubovka,Doubovka
Dubna,Doebna
Dorogomilovo,Dorogomilovo
Donskoye,Donskoe
Donskoy,Donskoj
Donetsk,Daneck
Domodedovo,Damadzedava
Dolgoprudnyy,Dolgoprodnyy
Dobryanka,Dobrjanka
Dmitrov,Demitriovia
Divnoye,Divnoe
Dinskaya,Dinskaja
Dimitrovgrad,Dimitrovgrad
Desnogorsk,Desnogors'k
Derbent,Cali
Dedovsk,Dedovo
Davydkovo,Davydkovo
Davlekanovo,Daulekanava
Dankov,Dankou
Danilov,Danilau
Dagestanskiye Ogni,Dagestanskie Ogni
Dachnoye,Dachnoe
Chusovoy,Chusavoj
Chudovo,Chudovo
Chistopol',Chistaj
Chishmy,Chishmy
Chernyanka,Chernjanka
Chernyakhovsk,Cerniachovskas
Chernushka,Chernushka
Chernogolovka,Cernogolovka
Cherkessk,Batalpashinsk
Cherepovets,CEE
Cheremushki,Cheremushki
Chekhov,Cechov
Chegem,Chechem
Cheboksary,CSY
Chaykovskiy,Chajkovskij
Chapayevsk,Capaevsk
Buzuluk,Bouzoulouk
Buynaksk,Boejnaksk
Buy,Buj
Buturlinovka,Boutourlinovka
Buinsk,Boeinsk
Buguruslan,Bogoroslan
Bugul'ma,Bugul'ma
Budennovsk,Budennovsk
Bryukhovetskaya,Brjukhoveckaja
Bryansk,BZK
Bronnitsy,Bronicai
Brateyevo,Bratyevo
Borovichi,Baravichy
Borisoglebsk,Barysaglebsk
Bor,Bor
Bol'shaya Setun',Bol'shaja Setun'
Bologoye,Bologoe
Boksitogorsk,Baksitagorsk
Boguchar,Boguchar
Bogorodskoye,Bogorodskoe
Bogorodsk,Bagarodsk
Bogoroditsk,Bagarodzick
Bobrov,Babrou
Blagoveshchensk,Blagaveshchansk
Blagodarnyy,Blagodarnoe
Biryulevo,Birjuljovo
Birsk,Birs'k
Bibirevo,Bibirevo
Bezhetsk,Bejeck
Bezenchuk,Bezenchuk
Beslan,Belsan
Berezniki,Beresniki
Beloretsk,BCX
Belorechensk,Belarehchansk
Beloozerskiy,Beloosjorski
Belgorod,Belgarad
Belev,Belev
Belebey,Belebei
Belaya Kalitva,Belaia Kalitva
Belaya Glina,Belaja Glina
Baymak,Bajmak
Bavly,Bauly
Bataysk,Batajsk
Barysh,Baris
Balezino,Balesino
Balashov,Balachov
Balashikha,Balachikha
Balakovo,BWO
Novaya Balakhna,Balachna
Balabanovo,Balabanova
Baksan,Baksan
Bakal,Bakal
Bagayevskaya,Bagaevskaja
Babushkin,Babushkin
Azov,Asoff
Avtury,Avtara
Avtovo,Autuansaari
Atkarsk,Atarsk
Astrakhan,ASF
Asha,Asha
Arzgir,Arsgir
Arzamas,Arsamas
Arsk,Arca
Armavir,Aramir
Arkhangel'sk,ARH
Argun,Argoen
Ardon,AErydon
Apsheronsk,Apcheronsk
Aprelevka,Aprehleuka
Apatity,Apatiitti
Anna,Anna
Andreyevskoye,Andreevskoe
Anapa,AAQ
Amin'yevo,Amin'evo
Al'met'yevsk,Al'met'evsk
Aleksin,Aleksin
Alekseyevka,Alekseevka
Alekseyevka,Alekseevka
Aleksandrovskoye,Aleksandrovskoe
Aleksandrovsk,Aleksandrovsk
Aleksandrov,Aleksandrov
Alatyr',Alatyr
Levoberezhnyy,Aksin'ino
Aksay,Aksaj
Akhtyrskiy,Akhtyrskij
Akhtubinsk,Achtubinsk
Agryz,AEgerce
Afipskiy,Afipskij
Adler,Adler
Achkhoy-Martan,Achkhoi-Martan
Abinsk,Abins'k
Abdulino,Abdoulino
Vasil'yevo,Vasil'evo
Ryl'sk,Ryl'sk
Neftekumsk,Nefcjakumsk
Alagir,Alagir
Persianovka,Persianovka
Annino,Annino
Dagomys,Dagomys
Pavlovo,Paulava
Belidzhi,Belidzhi
Lesnoy,Lesnoj
Trekhgornyy,Trekhgornyy
Mirnyy,Leningrad-300
Znamensk,Kapustin Jar
Zarechnyy,Penza-19
Kochubeyevskoye,Kochubeevskoe
Vnukovo,Vnukovo
Moskovskiy,Moskovskij
Usinsk,Oesinsk
Obukhovo,Obukhovo
Staryy Malgobek,Staryj Malgobek
Zavodoukovsk,Sawodoukowsk
Zarinsk,Sarinsk
Zarechnyy,Zarechnyj
Yuzhnyy,Juzhnyj
Yuzhnoural'sk,Juzhnoural'sk
Yurga,Jurga
Yeniseysk,EIE
Yemanzhelinsk,Emanzelinsk
Yekaterinburg,Catharinoburgum
Yashkino,Jaschkino
Yarovoye,Jarovoe
Yalutorovsk,Jalutorovsk
Vorkuta,VKT
Vorgashor,Vorgashor
Verkhnyaya Salda,Aukstutine Salda
Verkhnyaya Pyshma,Aukstutine Pysma
Verkhniy Ufaley,Verkhnij Ufalej
Uzhur,Oujour
Zelenogorsk,Barga
Uray,Nizhnyaya Arpa
Tyumen,Cjumen'
Turinsk,Toerinsk
Troitsk,Troic'k
Topki,Topki
Tomsk,TOF
Toguchin,Goguchin
Tobol'sk,TOX
Tayshet,Taischet
Tayga,Taiga
Tavda,Tauda
Tatarsk,Tatars'k
Tashtagol,Tashtagol
Tarko-Sale,TQL
Tara,Tara
Talnakh,Talnakh
Tal'menka,Tal'menka
Talitsa,Talica
Talitsa,Talica
Sysert',Sysert
Suzun,Suzun
Surgut,SGC
Sukhoy Log,Sukhoj Log
Strezhevoy,SWT
Sredneuralsk,Sjarehdnjaural'sk
Sovetskiy,OVS
Sosnovoborsk,Sasnovaborsk
Slavgorod,Slaugarad
Shushenskoye,Shush
Shumikha,Choumikha
Sharypovo,Charypovo
Shadrinsk,Chadrinsk
Serov,Kabakovsk
Sayanogorsk,Oznachennaya
Salekhard,Obdor
Rubtsovsk,Roebtsovsk
Rezh,Rezh
Reftinskiy,Reftinskij
Promyshlennaya,Promyshlennaja
Prokop'yevsk,Prokop'evsk
Poykovskiy,Pojkovskij
Polysayevo,Polysaevo
Polevskoy,Polevskoj
Plast,Plast
Osinniki,Asinniki
Omsk,OMS
Ob',Ob
Nyagan,NYA
Noyabrsk,NOJ
Novyy Urengoy,NUX
Novosilikatnyy,Novosilikatnyj
Novosibirsk,Cen Ceper
Novokuznetsk,Cusnezia
Novoaltaysk,Chesnokovka
Norilsk,Naryl'sk
Nizhnyaya Salda,Nizhnjaja Salda
Nizhnevartovsk,NJC
Nizhneudinsk,Nijneoudinsk
Nev'yansk,Nev'jansk
Nefteyugansk,NFG
Nazarovo,Nasarowo
Nadym,Faktoriya Nadym
Myski,Miski
Minusinsk,Minoesinsk
Miass,Mias
Mezhdurechensk,Mejdouretchensk
Megion,Maron
Mayma,Majma
Mariinsk,Mariins'k
Linevo,Linevo
Lesosibirsk,Lesasibirsk
Leninsk-Kuznetsky,Kuznecko Leninskas
Labytnangi,Labitnangi
Kyzyl,Belotsarsk
Kyshtym,Kyshtym
Kuybyshev,Kaen
Kurtamysh,Koertamysj
Kurgan,KRO
Kupino,Kupino
Kulunda,Kulunda
Krasnoyarsk,KJA
Krasnoural'sk,Krasnoural'sk
Krasnotur'insk,Krasnotur'insk
Krasnoobsk,Krasnoobsk
Korkino,Korkino
Kopeysk,Kopeisk
Yugorsk,Jugorsk
Kolpashevo,Kolpashev
Kodinsk,Kadzinsk
Kochenevo,Kochenevo
Kiselevsk,Kiselevsk
Kirovgrad,Kalata
Khanty-Mansiysk,Chanti-Mansiisk
Kemerovo,KEJ
Kedrovka,Kedrovka
Kayyerkan,Kajerkam
Kataysk,Katajsk
Kasli,Kasli
Kartaly,Kartali
Karpinsk,Bogoslovskiy
Karasuk,Karassouk
Karabash,Karabach
Kansk,Kansk
Kamyshlov,Kamishlov
Kamensk-Ural'skiy,Kamenisk
Kamen'-na-Obi,Kamen'
Kaltan,Kaltan
Kalachinsk,Kalachinsk
Ivdel',Ivdel'
Iskitim,Iskicim
Ishim,Byen Isjim
Irbit,Ehrbet
Ilanskiy,Ilanskij
Gur'yevsk,Gur'evsk
Gornyak,Gornjak
Gorno-Altaysk,Gorno-Altaisk
Dudinka,Doedinka
Divnogorsk,Divnogors'k
Degtyarsk,Degtjarsk
Chunskiy,Chuna
Chernogorsk,Cernogorsk
Cherepanovo,Cherepanovo
Chelyabinsk,CEK
Chebarkul',Chebarkul'
Borovskiy,Borovskij
Borodino,Baradzino
Bolotnoye,Bolotinskoe
Bogotol,Bagatol
Bogdanovich,Bogdandvich
Biysk,Biejsk
Beryozovsky,Berjozovskij
Berezovskiy,Berezovskij
Berezovka,Berejovskij
Berdsk,Berds'k
Beloyarskiy,Belojarskij
Belovo,Belova
Barnaul,BAX
Barabinsk,Baraba
Asino,Asina
Asbest,Asbest
Artemovskiy,Artemovsk
Aramil,Aramil
Anzhero-Sudzhensk,Anjero-Sudjensk
Aleysk,Aleisk
Alapayevsk,Alapaevs'k
Akademgorodok,Akademgorodok
Achinsk,ACS
Abaza,Abasa
Abakan,ABA
Snezhinsk,Chelyabinsk-70
Ozersk,Chelyabinsk-40
Zheleznogorsk,Atomgrad
Novoural'sk,Novoural'sk
Seversk,Severs'k
Gubkinskiy,Gubkinskij
Raduzhny,RAT
Muravlenko,Moeravlenko
Lyantor,Ljantor
Zima,Sima
Zheleznogorsk-Ilimskiy,Korshunikha
Zeya,Seja
Yakutsk,D'okuuskaj
Vyazemskiy,Vjazemskij
Vrangel',Vrangel
Vladivostok,Bladibostok
Vikhorevka,Vikhorevka
Ust'-Kut,UKX
Ust'-Ilimsk,UIK
Ussuriysk,Lungsod ng Ussurijsk
Usol'ye-Sibirskoye,Isol'ye-Sibirskoye
Ulan-Ude,Oelan-Oede
Udachny,Novyy
Tynda,TYD
Tulun,Toeloen
Trudovoye,Toudovoye
Fokino,Fokina
Svobodnyy,Alekseyevsk
Spassk-Dal'niy,Spassk
Slyudyanka,Sladyanka
Shimanovsk,Chimanovsk
Shelekhov,Chelekhov
Severobaykal'sk,Khojto Bajgal
Raychikhinsk,Raicihinsk
Petrovsk-Zabaykal'skiy,Petrovsk
Partizansk,Partisansk
Neryungri,N'iruungra
Nerchinsk,Nehrch̉¯̉¯
Nakhodka,Nachodka
Mirny,MJZ
Luchegorsk,Lucegorsk
Lesozavodsk,Lesazavodsk
Lensk,Lens'k
Kyakhta,Kjakhta
Krasnokamensk,Chandacha
Komsomolsk-on-Amur,KXK
Khabarovsk,Chabarofsk
Kavalerovo,KVR
Irkutsk,Ehrkh̉¯̉¯ khot
Gusinoozyorsk,Bestuzhev
Dalnerechensk,DLR
Chita,Chita
Cheremkhovo,Cheremkhovo
Borzya,Bolzhia
Bol'shoy Kamen',Bol'shoj Kamen'
Bodaybo,Bodaibo
Blagoveshchensk,BQS
Birobidzhan,Birabidzhan
Bikin,Bikin
Belogorsk,Aleksandrovka
Baykal'sk,Bajkal'sk
Aykhal,Aihal
Artem,Artem
Arsen'yev,Arsen'ev
Angarsk,Angars'k
Amursk,Amoursk
Aldan,ADH
Aginskoye,Aga
Dalnegorsk,DHG
Bratsk,BTK
Sayansk,Sajansk
Khabarovsk Vtoroy,Khabarovsk Vtoroj
Markova,Markova
Vilyuchinsk,Petropavlovsk-Kamchatskiy-50
Yuzhno-Sakhalinsk,Ioujno-Sakhalinsk
Yelizovo,Elizovo
Vanino,Vakino
Sovetskaya Gavan',GVN
Poronaysk,Poronajsk
Petropavlovsk-Kamchatsky,Kamchatkataagy Petropavlovskaj
Okha,OHH
Nikolayevsk-on-Amure,NLI
Nevel'sk,Honto
Magadan,GDX
Korsakov,Karsakau
Kholmsk,Kholmsk
Baltiysk,Baltiisk
Isakogorka,Isakogorka
Krasnoznamensk,Golicyno-2
Chertanovo Yuzhnoye,Chertanovo Vtoroe
Zagor'ye,Zagor'e
Orekhovo-Borisovo,Orekhovo-Borisovo
Metrogorodok,Metrogorodok
Kogalym,KGP
Pyt-Yakh,Pyt'-Jakh
Langepas,Langepas
Lesnoy,Lesnoj
Zarya,Zarja
Raduzhnyy,Raduzhnyj
Nizhnesortymskiy,Nizhnesortymskij
Pokachi,Pokachi
Izluchinsk,Isluczinsk
Kurortnyy,Kuusela
Chernaya Rechka,Chernaja rechka
Untolovo,Juntolovo
Petrogradka,Petrogradka
Vasyl'evsky Ostrov,Vasil'evskij ostrov
Parnas,Parnas
Kalininskiy,Kalininskij
Krasnogvargeisky,Krasnogvardejskij
Admiralteisky,Admiraltejskij
Krestovskiy ostrov,Krestovskij ostrov
Akademicheskoe,Akademicheskoe
Finlyandskiy,Finljandskij
Centralniy,Central'nyj
Svetlanovskiy,Svetlanovskij
Sampsonievskiy,Sampsonievskij
Vostochnoe Degunino,Vostochnoe Degunino
Dzerzhinsky,Dzerzhinskij
Obruchevo,
Fedorovskiy,Fedorovskij
Mezgor'e,Mezhgor'e
Rwamagana,Rouamankana
Musanze,Musanze
Nzega,Mont Nzega
Kigali,KGL
Kibuye,Kibue
Kibungo,Kibungo
Gitarama,Gitarama
Cyangugu,Ciangugu
Gisenyi,Colline Gosenyi
Byumba,Biumba
Butare,BTQ
Yanbu,YNB
Umluj,Umluj
Turaif,At Turayf
Turabah,Ramadan
Tarut,Darin Fort
Tabuk,Gabouk
Tubarjal,Tabarjal
Sultanah,Sultanah
Sayhat,As Saihat
Samitah,Samitah
Sakakah,AJF
Safwa,Safwa
Sabya,Al-Sabya
Rahimah,Rahaima
Rabigh,Rabegh
Qal`at Bishah,BHH
Najran,EAM
Mecca,A Meca
Khamis Mushait,Chamis Musaitas
Jizan,Djayzan
Jeddah,Chidda
Ha'il,HAS
Hafar Al-Batin,Al Hafar
Duba,Daba
Buraydah,Buraeydae
Abqaiq,Abaqaiq
Badr Hunayn,Badr
Az Zulfi,Az Zilfi
Dhahran,Az Zahran
At Taraf,Al-Taraf
Ta'if,At Ta'if
As Sulayyil,As Sulayyil
Riyadh,Al-Riad
Ar Rass,Al Russ
Arar,Ara`ar
An Nimas,Al-Nimas
Qurayyat,Al Qurayyat
Al Wajh,Al Wajh
Al-`Ula,Al Ola
Qaisumah,AQI
Al Qatif,Al Qatif
Al Munayzilah,Al Munaizilah
Al Mubarraz,Al Mubarraz
Al Mithnab,Al Midnab
Medina,Al Madina
Khobar,Al Khobar
Al Kharj,AKH
Al Khafji,Al Khafji
Al Jumum,Al Jumum
Al Jubayl,Ainain
Al Hufuf,Al Hufuf
Al Bukayriyah,Al Bukayriyah
Al Battaliyah,Al Battaliyah
Al Bahah,ABT
Afif,Afif
Ad Dilam,Ad Dilam
Ad Dawadimi,Ad Dawadami
Dammam,Ad Dammam
